======================================================================
ALIGNMENT STATISTICS SUMMARY
======================================================================

Total HARs analyzed: 3254
Total aligned length: 876143 bp
Total conserved positions: 800200
Total substitutions: 43884
Total gaps: 32059

Average conservation rate: 91.66%
Min conservation: 7.14%
Max conservation: 100.00%

======================================================================
PER-HAR DETAILS
======================================================================

     HAR  Length  Conserved  Substitutions  Gaps Conservation_Rate
HAR_1732     170        165              5     0            97.06%
HAR_1733     104        100              4     0            96.15%
HAR_1734     276        271              4     1            98.19%
HAR_1735     337        332              5     0            98.52%
HAR_1736      32         29              3     0            90.62%
HAR_1737     415        387              8    20            93.25%
HAR_1738     310        304              6     0            98.06%
HAR_1739     207        203              4     0            98.07%
 HAR_174     215        205              8     2            95.35%
HAR_1740     194        187              7     0            96.39%
HAR_1741      22         19              3     0            86.36%
HAR_1742     178        171              7     0            96.07%
HAR_1743     253        245              7     1            96.84%
HAR_1744     215        204              8     3            94.88%
HAR_1745     203        198              5     0            97.54%
HAR_1746     411        403              8     0            98.05%
HAR_1747     123        121              2     0            98.37%
HAR_1748     205        200              4     1            97.56%
HAR_1749     211        207              4     0            98.10%
 HAR_175     110        104              4     2            94.55%
HAR_1750     226        222              4     0            98.23%
HAR_1751      40         37              3     0            92.50%
HAR_1752     150        136              7     7            90.67%
HAR_1753     341        337              4     0            98.83%
HAR_1754     261        257              4     0            98.47%
HAR_1755     199        195              4     0            97.99%
HAR_1756     189        182              7     0            96.30%
HAR_1757     272        266              6     0            97.79%
HAR_1758     346        341              5     0            98.55%
HAR_1759     312        308              4     0            98.72%
 HAR_176      63         58              5     0            92.06%
HAR_1760      66         57              4     5            86.36%
HAR_1761     117        110              7     0            94.02%
HAR_1762     219        215              4     0            98.17%
HAR_1763     309        303              6     0            98.06%
HAR_1764      69         65              4     0            94.20%
HAR_1765     134        130              4     0            97.01%
HAR_1766     383        378              5     0            98.69%
HAR_1767     136        133              3     0            97.79%
HAR_1768     150        145              5     0            96.67%
HAR_1769     107        103              4     0            96.26%
 HAR_177     110        108              2     0            98.18%
HAR_1770     170        166              4     0            97.65%
HAR_1771     295        288              6     1            97.63%
HAR_1772     356        352              4     0            98.88%
HAR_1773     158        152              6     0            96.20%
HAR_1775     106        101              5     0            95.28%
HAR_1776     184        180              4     0            97.83%
HAR_1777      52         49              3     0            94.23%
HAR_1778     209        205              4     0            98.09%
HAR_1779     189        158             24     7            83.60%
 HAR_178     505        476             14    15            94.26%
HAR_1782     273        266              6     1            97.44%
HAR_1783     190        183              7     0            96.32%
HAR_1784     214        210              4     0            98.13%
HAR_1785     332        328              4     0            98.80%
HAR_1786     183        179              4     0            97.81%
HAR_1787     410        407              3     0            99.27%
HAR_1788      80         75              5     0            93.75%
HAR_1789     298        294              4     0            98.66%
 HAR_179     214        210              4     0            98.13%
HAR_1790     218        212              5     1            97.25%
HAR_1791      93         84              8     1            90.32%
HAR_1792     134        129              4     1            96.27%
HAR_1793     306        302              4     0            98.69%
HAR_1794      19         16              3     0            84.21%
HAR_1795     218        212              6     0            97.25%
HAR_1796      92         84              3     5            91.30%
HAR_1797     165        161              4     0            97.58%
HAR_1798      64         59              5     0            92.19%
HAR_1799     114        108              6     0            94.74%
  HAR_18      93         89              4     0            95.70%
 HAR_180     197        193              4     0            97.97%
HAR_1800     127        123              4     0            96.85%
HAR_1801    1038       1017             16     5            97.98%
HAR_1802     134        126              4     4            94.03%
HAR_1803     317        307              5     5            96.85%
HAR_1804     220        215              5     0            97.73%
HAR_1805     207        202              5     0            97.58%
HAR_1806      33         26              4     3            78.79%
HAR_1807     290        283              7     0            97.59%
HAR_1808     162        155              5     2            95.68%
HAR_1809      76         72              3     1            94.74%
 HAR_181      92         82              5     5            89.13%
HAR_1810     310        306              4     0            98.71%
HAR_1811     490        476             14     0            97.14%
HAR_1812      39         36              3     0            92.31%
HAR_1813     265        256              8     1            96.60%
HAR_1814     540        528             12     0            97.78%
HAR_1815     284        276              6     2            97.18%
HAR_1816     177        173              4     0            97.74%
HAR_1818      74         36             28    10            48.65%
HAR_1819     170        166              4     0            97.65%
 HAR_182     604        599              4     1            99.17%
HAR_1820     155        150              5     0            96.77%
HAR_1821      59         55              4     0            93.22%
HAR_1822     235        230              5     0            97.87%
HAR_1823     168        165              3     0            98.21%
HAR_1824      21         18              3     0            85.71%
HAR_1825     165        160              4     1            96.97%
HAR_1826     102        100              2     0            98.04%
HAR_1827     172        168              4     0            97.67%
HAR_1828      67         63              4     0            94.03%
HAR_1829     189        180              6     3            95.24%
 HAR_183     270        265              5     0            98.15%
HAR_1830     367        359              8     0            97.82%
HAR_1831     286        275             11     0            96.15%
HAR_1833     288        277              8     3            96.18%
HAR_1834     342        333              9     0            97.37%
HAR_1835     272        266              6     0            97.79%
HAR_1836     176        172              4     0            97.73%
HAR_1837     258        246             10     2            95.35%
HAR_1838     294        290              4     0            98.64%
HAR_1839     205        201              4     0            98.05%
 HAR_184     270        264              6     0            97.78%
HAR_1840     466        458              8     0            98.28%
HAR_1841     330        322              8     0            97.58%
HAR_1842     187        183              4     0            97.86%
HAR_1843     398        390              8     0            97.99%
HAR_1844     306        298              8     0            97.39%
HAR_1845     432        421             11     0            97.45%
HAR_1846     476        450             24     2            94.54%
HAR_1847     233        229              4     0            98.28%
HAR_1848     160        151              9     0            94.38%
HAR_1849     228        224              4     0            98.25%
 HAR_185     185        181              4     0            97.84%
HAR_1850     330        317             13     0            96.06%
HAR_1851     570        543             27     0            95.26%
HAR_1852      72         66              6     0            91.67%
HAR_1853     141        134              7     0            95.04%
HAR_1854     233        226              7     0            97.00%
HAR_1855     241        236              5     0            97.93%
HAR_1856     180        172              8     0            95.56%
HAR_1857      18         15              1     2            83.33%
HAR_1858      17         14              3     0            82.35%
HAR_1859     230        220             10     0            95.65%
 HAR_186     250        246              4     0            98.40%
HAR_1860     250        243              7     0            97.20%
HAR_1861     415        400             14     1            96.39%
HAR_1862     295        290              5     0            98.31%
HAR_1863     117        114              3     0            97.44%
HAR_1864     698        692              6     0            99.14%
HAR_1865     185        182              3     0            98.38%
HAR_1866     197        197              0     0           100.00%
HAR_1867      76         57              9    10            75.00%
HAR_1868     159        156              3     0            98.11%
HAR_1869     251        242              8     1            96.41%
 HAR_187      39         36              3     0            92.31%
HAR_1870     230        225              4     1            97.83%
HAR_1871     341        331             10     0            97.07%
HAR_1872      66         60              6     0            90.91%
HAR_1873      27         23              4     0            85.19%
HAR_1874      42         39              3     0            92.86%
HAR_1875      26         23              3     0            88.46%
HAR_1876     149        146              3     0            97.99%
HAR_1877     189        186              3     0            98.41%
HAR_1878      44         40              4     0            90.91%
HAR_1879      80         69              4     7            86.25%
 HAR_188     171        163              7     1            95.32%
HAR_1880     335        327              8     0            97.61%
HAR_1881      53         41             12     0            77.36%
HAR_1882     259        255              4     0            98.46%
HAR_1883     164        161              3     0            98.17%
HAR_1884     270        263              7     0            97.41%
HAR_1885     321        317              4     0            98.75%
HAR_1886     430        424              6     0            98.60%
HAR_1887     150        147              3     0            98.00%
HAR_1888     234        230              4     0            98.29%
HAR_1889     102         99              3     0            97.06%
 HAR_189     171        167              4     0            97.66%
HAR_1890     460        456              4     0            99.13%
HAR_1891     230        222              8     0            96.52%
HAR_1892     289        282              7     0            97.58%
HAR_1893     284        280              4     0            98.59%
HAR_1894     279        272              7     0            97.49%
HAR_1895     450        439             11     0            97.56%
HAR_1896     351        347              4     0            98.86%
HAR_1897     416        412              4     0            99.04%
HAR_1898     230        225              5     0            97.83%
HAR_1899     260        256              4     0            98.46%
  HAR_19     145        141              4     0            97.24%
 HAR_190     453        443              9     1            97.79%
HAR_1900     390        385              5     0            98.72%
HAR_1901     207        202              5     0            97.58%
HAR_1902     259        255              4     0            98.46%
HAR_1903     395        387              8     0            97.97%
HAR_1904     169        154              4    11            91.12%
HAR_1905     166        163              3     0            98.19%
HAR_1906     190        186              4     0            97.89%
HAR_1907     148        145              3     0            97.97%
HAR_1908     173        163              8     2            94.22%
HAR_1909      47         43              4     0            91.49%
 HAR_191     470        460              5     5            97.87%
HAR_1910     244        237              7     0            97.13%
HAR_1911     150        147              3     0            98.00%
HAR_1912     301        295              6     0            98.01%
HAR_1913     259        249             10     0            96.14%
HAR_1914      33         29              4     0            87.88%
HAR_1915     150        145              5     0            96.67%
HAR_1916     223        215              5     3            96.41%
HAR_1917     173        168              5     0            97.11%
HAR_1918     240        235              5     0            97.92%
HAR_1919      91         87              4     0            95.60%
 HAR_192     230        224              5     1            97.39%
HAR_1920      38         35              3     0            92.11%
HAR_1921     151        147              4     0            97.35%
HAR_1922     280        275              4     1            98.21%
HAR_1923     431        418             12     1            96.98%
HAR_1924      60         56              4     0            93.33%
HAR_1925     150        147              3     0            98.00%
HAR_1926     270        266              4     0            98.52%
HAR_1927     115        111              4     0            96.52%
HAR_1928      46         43              3     0            93.48%
HAR_1929     543        536              7     0            98.71%
 HAR_193     328        321              7     0            97.87%
HAR_1930     384        380              4     0            98.96%
HAR_1931     260        254              4     2            97.69%
HAR_1932     325        321              4     0            98.77%
HAR_1933     183        175              8     0            95.63%
HAR_1934      22         19              3     0            86.36%
HAR_1935      23         20              3     0            86.96%
HAR_1936     253        248              5     0            98.02%
HAR_1937     677        672              5     0            99.26%
HAR_1938     103        100              3     0            97.09%
HAR_1939     358        354              4     0            98.88%
 HAR_194     490        485              5     0            98.98%
HAR_1940     207        202              5     0            97.58%
HAR_1941     550        544              5     1            98.91%
HAR_1942     374        365              9     0            97.59%
HAR_1943     219        214              5     0            97.72%
HAR_1944     578        568              7     3            98.27%
HAR_1945     124        120              3     1            96.77%
HAR_1946     407        403              4     0            99.02%
HAR_1947     123        118              5     0            95.93%
HAR_1948     210        206              4     0            98.10%
HAR_1949     167        163              4     0            97.60%
 HAR_195     230        226              4     0            98.26%
HAR_1950     143        140              3     0            97.90%
HAR_1951      22         19              3     0            86.36%
HAR_1952     447        439              8     0            98.21%
HAR_1953     148        143              5     0            96.62%
HAR_1954     308        303              5     0            98.38%
HAR_1955     339        333              6     0            98.23%
HAR_1956     422        416              6     0            98.58%
HAR_1957     280        276              4     0            98.57%
HAR_1958     188        184              4     0            97.87%
HAR_1959      71         66              5     0            92.96%
 HAR_196     340        336              4     0            98.82%
HAR_1960     178        172              6     0            96.63%
HAR_1961      13         11              2     0            84.62%
HAR_1962     239        234              5     0            97.91%
HAR_1963     297        293              4     0            98.65%
HAR_1964     304        296              8     0            97.37%
HAR_1965     150        145              5     0            96.67%
HAR_1966     286        281              5     0            98.25%
HAR_1967     849        833             11     5            98.12%
HAR_1968     623        619              4     0            99.36%
HAR_1969     295        270              6    19            91.53%
 HAR_197     513        509              4     0            99.22%
HAR_1970     359        355              4     0            98.89%
HAR_1971     345        338              7     0            97.97%
HAR_1972     172        167              5     0            97.09%
HAR_1973     166        161              5     0            96.99%
HAR_1974     393        389              4     0            98.98%
HAR_1975     182        178              4     0            97.80%
HAR_1976     486        482              4     0            99.18%
HAR_1977     204        200              4     0            98.04%
HAR_1978     329        323              6     0            98.18%
HAR_1979     336        331              5     0            98.51%
 HAR_198     172        169              3     0            98.26%
HAR_1980     146        142              4     0            97.26%
HAR_1981     230        225              5     0            97.83%
HAR_1982     193        189              4     0            97.93%
HAR_1983     559        527             11    21            94.28%
HAR_1984     182        177              5     0            97.25%
HAR_1985     230        226              4     0            98.26%
HAR_1986     196        192              4     0            97.96%
HAR_1987     150        142              8     0            94.67%
HAR_1988     413        405              7     1            98.06%
HAR_1989     246        241              5     0            97.97%
 HAR_199     252        248              4     0            98.41%
HAR_1990     224        221              3     0            98.66%
HAR_1991     150        148              2     0            98.67%
HAR_1992     111        107              4     0            96.40%
HAR_1993     563        552              9     2            98.05%
HAR_1994     259        255              4     0            98.46%
HAR_1995     129        124              5     0            96.12%
HAR_1996     330        323              7     0            97.88%
HAR_1997     308        304              4     0            98.70%
HAR_1998      74         67              4     3            90.54%
HAR_1999     194        189              5     0            97.42%
   HAR_2     460        433             12    15            94.13%
  HAR_20     227        222              5     0            97.80%
 HAR_200     290        283              7     0            97.59%
HAR_2000     460        456              4     0            99.13%
HAR_2001     396        388              8     0            97.98%
HAR_2002     630        618             12     0            98.10%
HAR_2003     232        222              4     6            95.69%
HAR_2004     364        360              4     0            98.90%
HAR_2005      56         52              4     0            92.86%
HAR_2006     137        132              5     0            96.35%
HAR_2007     142        138              4     0            97.18%
HAR_2008     665        661              4     0            99.40%
HAR_2009     250        247              3     0            98.80%
 HAR_201     188        182              6     0            96.81%
HAR_2010     241        238              3     0            98.76%
HAR_2011     232        228              4     0            98.28%
HAR_2012     364        357              7     0            98.08%
HAR_2013     750        745              5     0            99.33%
HAR_2014     430        422              8     0            98.14%
HAR_2015     386        382              4     0            98.96%
HAR_2016     247        242              5     0            97.98%
HAR_2017     144        140              4     0            97.22%
HAR_2018     277        273              4     0            98.56%
HAR_2019     172        168              4     0            97.67%
 HAR_202     599        589              5     5            98.33%
HAR_2020     381        372              9     0            97.64%
HAR_2021     444        438              6     0            98.65%
HAR_2022     168        164              4     0            97.62%
HAR_2023     449        445              4     0            99.11%
HAR_2024     181        169             12     0            93.37%
HAR_2025     190        186              4     0            97.89%
HAR_2026      99         95              4     0            95.96%
HAR_2027     109        104              5     0            95.41%
HAR_2028     622        615              4     3            98.87%
HAR_2029     488        482              5     1            98.77%
 HAR_203     586        582              4     0            99.32%
HAR_2030     149        145              4     0            97.32%
HAR_2031     423        418              5     0            98.82%
HAR_2032     643        638              5     0            99.22%
HAR_2033      51         48              3     0            94.12%
HAR_2034     298        290              8     0            97.32%
HAR_2035     156        151              4     1            96.79%
HAR_2036     171        162              4     5            94.74%
HAR_2037     215        207              8     0            96.28%
HAR_2038     170        164              6     0            96.47%
HAR_2039     216        212              4     0            98.15%
 HAR_204     242        237              5     0            97.93%
HAR_2040     174        169              5     0            97.13%
HAR_2041     372        366              6     0            98.39%
HAR_2042     303        295              8     0            97.36%
HAR_2043     326        264              6    56            80.98%
HAR_2044     583        570             13     0            97.77%
HAR_2045     572        565              7     0            98.78%
HAR_2046     108        104              4     0            96.30%
HAR_2047     117        110              4     3            94.02%
HAR_2048     570        557             13     0            97.72%
HAR_2049     253        245              8     0            96.84%
 HAR_205     147        143              4     0            97.28%
HAR_2050      32         30              2     0            93.75%
HAR_2051     351        347              4     0            98.86%
HAR_2052     651        647              4     0            99.39%
HAR_2053     236        227              9     0            96.19%
HAR_2054     150        145              5     0            96.67%
HAR_2055     328        319              9     0            97.26%
HAR_2056     219        215              4     0            98.17%
HAR_2057     305        291              9     5            95.41%
HAR_2058      30         27              3     0            90.00%
HAR_2059     293        287              6     0            97.95%
 HAR_206     204        200              4     0            98.04%
HAR_2060     241        236              4     1            97.93%
HAR_2061     322        318              4     0            98.76%
HAR_2062     280        276              4     0            98.57%
HAR_2063     843        838              5     0            99.41%
HAR_2064     282        278              4     0            98.58%
HAR_2065     383        375              8     0            97.91%
HAR_2066     459        452              4     3            98.47%
HAR_2067     222        217              5     0            97.75%
HAR_2068     303        291              9     3            96.04%
HAR_2069     178        174              4     0            97.75%
 HAR_207     579        562             12     5            97.06%
HAR_2070     397        387             10     0            97.48%
HAR_2071     299        294              5     0            98.33%
HAR_2072     118        113              5     0            95.76%
HAR_2073     147        142              5     0            96.60%
HAR_2074     325        314              9     2            96.62%
HAR_2075     273        266              7     0            97.44%
HAR_2076     294        285              9     0            96.94%
HAR_2077     334        330              4     0            98.80%
HAR_2078      24         20              4     0            83.33%
HAR_2079     218        213              5     0            97.71%
 HAR_208     176        167              7     2            94.89%
HAR_2080     791        769             18     4            97.22%
HAR_2081     242        233              9     0            96.28%
HAR_2082      21         19              2     0            90.48%
HAR_2083     270        266              4     0            98.52%
HAR_2084     246        240              6     0            97.56%
HAR_2085     233        229              4     0            98.28%
HAR_2086     175        169              6     0            96.57%
HAR_2087     175        171              4     0            97.71%
HAR_2088      23         20              3     0            86.96%
HAR_2089     121        119              1     1            98.35%
 HAR_209     277        273              4     0            98.56%
HAR_2090     318        312              6     0            98.11%
HAR_2091     299        292              7     0            97.66%
HAR_2092      40         36              4     0            90.00%
HAR_2093     297        287              7     3            96.63%
HAR_2094     169        165              4     0            97.63%
HAR_2095     288        280              8     0            97.22%
HAR_2096     312        306              6     0            98.08%
HAR_2097     185        181              4     0            97.84%
HAR_2098     118        114              4     0            96.61%
HAR_2099     202        198              4     0            98.02%
  HAR_21     148        144              4     0            97.30%
 HAR_210     314        310              4     0            98.73%
HAR_2100     251        241              9     1            96.02%
HAR_2101      92         87              4     1            94.57%
HAR_2102      75         71              4     0            94.67%
HAR_2103     171         48             82    41            28.07%
HAR_2104     516        163            169   184            31.59%
HAR_2105     150        144              6     0            96.00%
HAR_2106     168        162              6     0            96.43%
HAR_2107     144        139              5     0            96.53%
HAR_2108     150        145              5     0            96.67%
HAR_2109     112        109              3     0            97.32%
 HAR_211     546        537              8     1            98.35%
HAR_2110     342        334              8     0            97.66%
HAR_2111     319        314              4     1            98.43%
HAR_2112     183        179              4     0            97.81%
HAR_2113     155        152              3     0            98.06%
HAR_2114     250        246              4     0            98.40%
HAR_2115     430        424              6     0            98.60%
HAR_2116     410        400             10     0            97.56%
HAR_2117     194        190              4     0            97.94%
HAR_2118     150        147              3     0            98.00%
HAR_2119     164        160              4     0            97.56%
 HAR_212     700        686             14     0            98.00%
HAR_2120     711        693             17     1            97.47%
HAR_2121      26         24              2     0            92.31%
HAR_2122     262        254              5     3            96.95%
HAR_2123     288        283              5     0            98.26%
HAR_2124     106        102              4     0            96.23%
HAR_2125      88         83              5     0            94.32%
HAR_2126     464        458              6     0            98.71%
HAR_2127     478        469              9     0            98.12%
HAR_2128     139        135              4     0            97.12%
HAR_2129     250        242              8     0            96.80%
 HAR_213      43         36              7     0            83.72%
HAR_2130     203        199              4     0            98.03%
HAR_2131     407        399              7     1            98.03%
HAR_2132     294        286              7     1            97.28%
HAR_2133     190        186              4     0            97.89%
HAR_2134     279        268              5     6            96.06%
HAR_2135      98         89              7     2            90.82%
HAR_2136      25         21              4     0            84.00%
HAR_2137     276        264              7     5            95.65%
HAR_2138     602        584             17     1            97.01%
HAR_2139     321        317              4     0            98.75%
 HAR_214     311        300              6     5            96.46%
HAR_2140     363        356              6     1            98.07%
HAR_2141     370        352             17     1            95.14%
HAR_2142     298        294              4     0            98.66%
HAR_2143     120        116              4     0            96.67%
HAR_2144     375        371              4     0            98.93%
HAR_2145      75         71              4     0            94.67%
HAR_2146     131        127              4     0            96.95%
HAR_2147     451        408             12    31            90.47%
HAR_2148     143        140              3     0            97.90%
HAR_2149     177        173              4     0            97.74%
 HAR_215     321        316              5     0            98.44%
HAR_2150     250        245              5     0            98.00%
HAR_2151     248        244              4     0            98.39%
HAR_2152     252        246              5     1            97.62%
HAR_2153     729        725              4     0            99.45%
HAR_2154     406        398              4     4            98.03%
HAR_2155     111        107              4     0            96.40%
HAR_2156     260         52             68   140            20.00%
HAR_2157    1098        240            278   580            21.86%
HAR_2158      26          5              5    16            19.23%
HAR_2159     369         58             63   248            15.72%
 HAR_216     333        329              4     0            98.80%
HAR_2160     444        176            199    69            39.64%
HAR_2161     218         44             45   129            20.18%
HAR_2162     285         71             97   117            24.91%
HAR_2163     310        111            149    50            35.81%
HAR_2164     274        112            140    22            40.88%
HAR_2165     285         78             73   134            27.37%
HAR_2166     412        184            168    60            44.66%
HAR_2167     342         96            110   136            28.07%
HAR_2168     591        129            116   346            21.83%
HAR_2169     353         31             24   298             8.78%
 HAR_217     230        225              5     0            97.83%
HAR_2170     375        127            156    92            33.87%
HAR_2171     172         71            101     0            41.28%
HAR_2172     756        137            157   462            18.12%
HAR_2173     179         64             79    36            35.75%
HAR_2174     222         77             79    66            34.68%
HAR_2175     558         92             77   389            16.49%
HAR_2176     416        155            205    56            37.26%
HAR_2177     174         64             74    36            36.78%
HAR_2178     106         47             53     6            44.34%
HAR_2179      58         25             31     2            43.10%
 HAR_218     112        107              5     0            95.54%
HAR_2180     192         61             67    64            31.77%
HAR_2181      25         10              7     8            40.00%
HAR_2182     226         65             47   114            28.76%
HAR_2183     112         41             43    28            36.61%
HAR_2184     458        180            211    67            39.30%
HAR_2185     187         46             55    86            24.60%
HAR_2186     116         36             46    34            31.03%
HAR_2187     525        151            168   206            28.76%
HAR_2188     474        150            168   156            31.65%
 HAR_219     375        367              8     0            97.87%
HAR_2190     223         81            116    26            36.32%
HAR_2191     468        151            158   159            32.26%
HAR_2192     349         75            104   170            21.49%
HAR_2193     288         49             63   176            17.01%
HAR_2194     362         51             38   273            14.09%
HAR_2195      32         17             15     0            53.12%
HAR_2196      41         17             19     5            41.46%
HAR_2197     188         67             63    58            35.64%
HAR_2198     377         93             86   198            24.67%
HAR_2199    1064        199            237   628            18.70%
  HAR_22     119        110              6     3            92.44%
 HAR_220     250        242              8     0            96.80%
HAR_2200     292        100            144    48            34.25%
HAR_2201     575        146            135   294            25.39%
HAR_2202     216         79             93    44            36.57%
HAR_2203     273         87            101    85            31.87%
HAR_2204      73         68              3     2            93.15%
HAR_2205      68         64              4     0            94.12%
HAR_2206     101         99              2     0            98.02%
HAR_2207     150        142              6     2            94.67%
HAR_2208     154        150              4     0            97.40%
HAR_2209     139        136              3     0            97.84%
 HAR_221     388        383              4     1            98.71%
HAR_2210     127        121              6     0            95.28%
HAR_2211     400        386              4    10            96.50%
HAR_2212     256        251              5     0            98.05%
HAR_2213     255        248              7     0            97.25%
HAR_2214     111        107              4     0            96.40%
HAR_2215     170        166              4     0            97.65%
HAR_2216     304        299              5     0            98.36%
HAR_2217      33         29              4     0            87.88%
HAR_2218     314        308              6     0            98.09%
HAR_2219     251        247              3     1            98.41%
 HAR_222     111        107              4     0            96.40%
HAR_2220      59         56              3     0            94.92%
HAR_2221     550        535              7     8            97.27%
HAR_2222     570        566              4     0            99.30%
HAR_2223     236        231              5     0            97.88%
HAR_2224      33         29              4     0            87.88%
HAR_2225     382        376              5     1            98.43%
HAR_2226     201        197              4     0            98.01%
HAR_2227     115        111              4     0            96.52%
HAR_2228     445        441              4     0            99.10%
HAR_2229     390        372             11     7            95.38%
 HAR_223      55         50              5     0            90.91%
HAR_2230     136        133              3     0            97.79%
HAR_2231     164        160              4     0            97.56%
HAR_2232     315        311              4     0            98.73%
HAR_2233      19         17              2     0            89.47%
HAR_2234     105        102              3     0            97.14%
HAR_2235      16         13              3     0            81.25%
HAR_2237     390        375             11     4            96.15%
HAR_2238     331        326              4     1            98.49%
HAR_2239     100         97              3     0            97.00%
 HAR_224      74         68              6     0            91.89%
HAR_2240     193        187              6     0            96.89%
HAR_2241     363        357              6     0            98.35%
HAR_2242     226        218              7     1            96.46%
HAR_2243     324        320              4     0            98.77%
HAR_2244     113        109              4     0            96.46%
HAR_2245     392        373              8    11            95.15%
HAR_2246     133        130              3     0            97.74%
HAR_2247     358        353              5     0            98.60%
HAR_2248     270        265              5     0            98.15%
HAR_2249     159        153              6     0            96.23%
 HAR_225     150        147              3     0            98.00%
HAR_2250     150        146              4     0            97.33%
HAR_2251     100         94              3     3            94.00%
HAR_2252     257        248              9     0            96.50%
HAR_2253     354        350              4     0            98.87%
HAR_2254     250        243              7     0            97.20%
HAR_2255     150        145              5     0            96.67%
HAR_2256     372        368              4     0            98.92%
HAR_2257     450        442              8     0            98.22%
HAR_2258      16         13              3     0            81.25%
HAR_2259     126        122              4     0            96.83%
 HAR_226     118        114              3     1            96.61%
HAR_2260     218        213              4     1            97.71%
HAR_2261      86         80              4     2            93.02%
HAR_2262     468        460              7     1            98.29%
HAR_2263     168        163              5     0            97.02%
HAR_2264     167        163              4     0            97.60%
HAR_2265     184        176              4     4            95.65%
HAR_2266     227        223              4     0            98.24%
HAR_2267     113         98              5    10            86.73%
HAR_2268     190        186              4     0            97.89%
HAR_2269     117        113              4     0            96.58%
 HAR_227     235        229              6     0            97.45%
HAR_2270     294        289              5     0            98.30%
HAR_2271     160        156              4     0            97.50%
HAR_2272     222        218              4     0            98.20%
HAR_2273     171        166              5     0            97.08%
HAR_2274      24         19              2     3            79.17%
HAR_2275     176        169              7     0            96.02%
HAR_2276      19         17              2     0            89.47%
HAR_2277      72         70              2     0            97.22%
HAR_2278      23         21              2     0            91.30%
HAR_2279     264        260              4     0            98.48%
 HAR_228     530        512             18     0            96.60%
HAR_2280     378        372              6     0            98.41%
HAR_2281     458        440              8    10            96.07%
HAR_2282     125        121              4     0            96.80%
HAR_2283     225        220              5     0            97.78%
HAR_2284     320        315              5     0            98.44%
HAR_2285     110        107              3     0            97.27%
HAR_2286     216        211              5     0            97.69%
HAR_2287     139        135              4     0            97.12%
HAR_2288     169        166              3     0            98.22%
HAR_2289     159        155              4     0            97.48%
 HAR_229     710        689             21     0            97.04%
HAR_2290     478        463             11     4            96.86%
HAR_2291     260        254              6     0            97.69%
HAR_2292     180        177              3     0            98.33%
HAR_2293     150        145              5     0            96.67%
HAR_2294     290        282              4     4            97.24%
HAR_2295     377        372              5     0            98.67%
HAR_2296     171        167              4     0            97.66%
HAR_2297     455        446              8     1            98.02%
HAR_2298      41         38              3     0            92.68%
HAR_2299     564        558              6     0            98.94%
  HAR_23     242        238              4     0            98.35%
 HAR_230     128        124              4     0            96.88%
HAR_2300     225        219              6     0            97.33%
HAR_2301    1022       1003             18     1            98.14%
HAR_2302     465        457              8     0            98.28%
HAR_2303     150        145              5     0            96.67%
HAR_2304     123        119              4     0            96.75%
HAR_2305     223        219              4     0            98.21%
HAR_2306      82         74              2     6            90.24%
HAR_2307     230        224              6     0            97.39%
HAR_2308     270        266              4     0            98.52%
HAR_2309     410        398             12     0            97.07%
 HAR_231     430        414             16     0            96.28%
HAR_2310     430        421              9     0            97.91%
HAR_2311     356        352              4     0            98.88%
HAR_2312     223        217              6     0            97.31%
HAR_2313     539        523             12     4            97.03%
HAR_2314     220        216              4     0            98.18%
HAR_2315     258        254              4     0            98.45%
HAR_2316     152        147              5     0            96.71%
HAR_2317     164        160              4     0            97.56%
HAR_2318     198        194              4     0            97.98%
HAR_2319     224        220              4     0            98.21%
 HAR_232     135        131              4     0            97.04%
HAR_2320     546        541              5     0            99.08%
HAR_2321     148        138              5     5            93.24%
HAR_2322     261        254              7     0            97.32%
HAR_2323     418        412              5     1            98.56%
HAR_2324     221        217              4     0            98.19%
HAR_2325     101         97              4     0            96.04%
HAR_2326     250        241              9     0            96.40%
HAR_2327     562        554              8     0            98.58%
HAR_2328     360        352              8     0            97.78%
HAR_2329     345        335             10     0            97.10%
 HAR_233     200        189              4     7            94.50%
HAR_2330     265        258              7     0            97.36%
HAR_2331     412        404              8     0            98.06%
HAR_2332      47         44              3     0            93.62%
HAR_2333     143        138              5     0            96.50%
HAR_2334     225        188              9    28            83.56%
HAR_2335     203        190              0    13            93.60%
HAR_2336     115        111              4     0            96.52%
HAR_2338     192         82             95    15            42.71%
HAR_2339     314         55             53   206            17.52%
 HAR_234     290        280             10     0            96.55%
HAR_2340     178         69             57    52            38.76%
HAR_2341      32         14              8    10            43.75%
HAR_2342     318        107            155    56            33.65%
HAR_2343      41         15             12    14            36.59%
